      Type    Time(s)            Source_IP       Destination_IP         Source_Port     Destination_Port   Protocol     Length      Flags
   Unicast       8.55           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       8.60           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       8.60           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       8.60           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       8.96           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       8.97           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       8.97           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       9.10           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       9.33           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       9.33           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       9.33           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       9.55           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast       9.55           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast       9.55           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       9.60           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       9.60           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       9.60           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       9.97           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       9.97           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       9.97           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      10.10           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      10.33           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      10.33           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      10.33           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      10.55           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      10.55           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      10.55           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      10.60           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      10.60           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      10.60           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      10.97           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      10.97           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      10.97           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      11.11           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      11.34           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      11.34           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      11.34           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      11.56           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      11.56           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      11.56           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      11.61           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      11.61           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      11.61           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      11.97           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      11.98           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      11.98           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      12.11           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      12.34           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      12.34           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      12.34           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      12.56           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      12.56           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      12.56           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      12.61           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      12.61           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      12.61           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      12.98           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      12.98           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      12.98           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      13.11           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      13.35           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      13.35           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      13.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      13.56           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      13.56           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      13.56           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      13.66           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      13.66           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      13.66           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      13.98           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      13.98           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      13.98           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      14.11           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      14.35           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      14.35           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      14.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      14.56           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      14.56           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      14.56           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      14.66           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      14.66           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      14.66           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      14.98           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      14.98           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      14.98           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      15.11           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      15.35           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      15.35           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      15.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      15.57           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      15.57           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      15.57           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      15.66           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      15.66           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      15.66           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      15.98           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      15.98           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      15.98           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      16.12           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      16.35           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      16.35           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      16.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      16.57           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      16.57           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      16.57           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      16.66           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      16.66           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      16.66           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      16.99           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      16.99           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      16.99           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      17.12           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      17.35           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      17.35           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      17.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      17.57           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      17.57           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      17.57           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      17.67           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      17.67           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      17.67           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      17.99           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      17.99           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      17.99           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      18.12           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      18.36           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      18.36           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      18.36           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      18.58           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      18.58           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      18.58           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      18.67           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      18.67           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      18.67           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      18.99           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      18.99           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      18.99           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      19.12           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      19.36           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      19.36           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      19.36           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      19.58           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      19.58           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      19.58           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      19.68           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      19.68           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      19.68           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      19.99           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      19.99           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      19.99           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      20.13           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      20.37           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      20.37           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      20.37           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      20.58           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      20.58           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      20.58           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      20.68           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      20.68           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      20.68           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      21.00           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      21.00           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      21.00           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      21.13           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      21.37           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      21.37           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      21.37           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      21.58           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      21.58           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      21.58           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      21.69           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      21.69           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      21.69           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      22.00           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      22.00           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      22.00           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      22.13           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast      22.37           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast      22.37           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast      22.37           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast      22.59           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast      22.59           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast      22.59           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast      22.69           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast      22.69           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast      22.69           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast      23.00           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast      23.00           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast      23.00           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast      23.13           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
